"","OMSCHR","VHAG","NAAM","TYPE","dataset","Sampler","GEBIED","SystemType","WVLC","vrijwillID","provincie","postcode","gemeente","locID","SugbyINBO","isReserved","Latitude","Longitude","updateRes"
"1","Kaulille, Broekerheide, oude hostieweg, dan zandpad inrijden, opw brug",9508,"Warmbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3950,"Bocholt","I_3950_1","YES","FALSE",51.1968064927635,5.49538932476128,"FALSE"
"2","Goolderheideweg, opw weg",473,"Balkenloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3950,"Bocholt","I_3950_2","YES","FALSE",51.1754534313333,5.53638948726679,"FALSE"
"3","onverhard verlengde Goosweg, opw weg",332,"Rieterheideloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3950,"Bocholt","I_3950_3","YES","FALSE",51.1885454250816,5.5424250675991,"FALSE"
"4","zijbeek Hamonterbeek, Hamont, Lozerweg 100, via hoofdingang Lo kasteel De L'Escaille, opw onverharde weg",10201,"Lobeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3930,"Hamont-Achel","I_3930_1","YES","FALSE",51.2264366219971,5.54330799107469,"FALSE"
"5","Lossing-Emissaire, Molenbeersel, Vlasbrei, Uffelseweg, grenspaal 145, opw brug",9967,"Lossing","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3640,"Kinrooi","I_3640_11","YES","FALSE",51.1717186392767,5.7795737396347,"FALSE"
"6","Stramproyerweg, aan grenspaal 160, opw onderkokering aan Abeek (stuw)",9505,"Abeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3950,"Bocholt","I_3950_4","YES","FALSE",51.1847250336073,5.65790646933889,"FALSE"
"7","Neeritter, Huikenhof (NL), opw brug",9522,"Itterbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3640,"Kinrooi","I_3640_12","YES","FALSE",51.1570656653496,5.79221185990336,"FALSE"
"8","Ophoven, aan kruising met Dalerstr, opw brug",9505,"Abeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3640,"Kinrooi","I_3640_1","YES","FALSE",51.1257380340948,5.8118870110499,"FALSE"
"9","Kinrooi, Breeërstwg, opw brug",9505,"Abeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3640,"Kinrooi","I_3640_2","YES","FALSE",51.1454366181222,5.75025116042025,"FALSE"
"10","Bocholt, Kreylerstraat, onverharde weg naast huisnr. 29, opw brug",9505,"Abeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3950,"Bocholt","I_3950_5","YES","FALSE",51.1724651062036,5.60302557094664,"FALSE"
"11","Ellikom, Neermolenstraat ten einde, opw brug (bio: + afw brug en verval)",9505,"Abeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3670,"Oudsbergen","I_3670_1","YES","FALSE",51.1339158972003,5.52136227222695,"FALSE"
