"isReserved","locID","OMSCHR","NAAM","TYPE","dataset","Sampler","GEBIED","SystemType","WVLC","vrijwillID","provincie","postcode","gemeente","SugbyINBO","Latitude","Longitude","VHAG","updateRes","CATC","startDate","restricties"
"FALSE","I_3950_1","Kaulille, Broekerheide, oude hostieweg, dan zandpad inrijden, opw brug","Warmbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3950","Bocholt","YES","51.1968064927635","5.49538932476128","9508","FALSE",2,NA,""
"FALSE","I_3950_2","Goolderheideweg, opw weg","Balkenloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3950","Bocholt","YES","51.1754534313333","5.53638948726679","473","FALSE",2,NA,""
"FALSE","I_3950_3","onverhard verlengde Goosweg, opw weg","Rieterheideloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3950","Bocholt","YES","51.1885454250816","5.5424250675991","332","FALSE",2,NA,""
"FALSE","I_3930_1","zijbeek Hamonterbeek, Hamont, Lozerweg 100, via hoofdingang Lo kasteel De L'Escaille, opw onverharde weg","Lobeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3930","Hamont-Achel","YES","51.2264366219971","5.54330799107469","10201","FALSE",2,NA,""
"FALSE","I_3640_11","Lossing-Emissaire, Molenbeersel, Vlasbrei, Uffelseweg, grenspaal 145, opw brug","Lossing","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3640","Kinrooi","YES","51.1717186392767","5.7795737396347","9967","FALSE",1,NA,""
"FALSE","I_3950_4","Stramproyerweg, aan grenspaal 160, opw onderkokering aan Abeek (stuw)","Abeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3950","Bocholt","YES","51.1847250336073","5.65790646933889","9505","FALSE",1,NA,""
"FALSE","I_3640_12","Neeritter, Huikenhof (NL), opw brug","Itterbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3640","Kinrooi","YES","51.1570656653496","5.79221185990336","9522","FALSE",1,NA,""
"FALSE","I_3640_1","Ophoven, aan kruising met Dalerstr, opw brug","Abeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3640","Kinrooi","YES","51.1257380340948","5.8118870110499","9505","FALSE",1,NA,""
"FALSE","I_3640_2","Kinrooi, Breeërstwg, opw brug","Abeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3640","Kinrooi","YES","51.1454366181222","5.75025116042025","9505","FALSE",1,NA,""
"FALSE","I_3950_5","Bocholt, Kreylerstraat, onverharde weg naast huisnr. 29, opw brug","Abeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3950","Bocholt","YES","51.1724651062036","5.60302557094664","9505","FALSE",1,NA,""
"FALSE","I_3670_1","NA","Abeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3670","Oudsbergen","YES","51.1339158972003","5.52136227222695","9505","FALSE",2,NA,""
"FALSE","I_3990_1","Meeuwen, Peerderbaan, aan grensbord Meeuwen, OPW brug+LZP","Gielisbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3990","Peer","YES","51.1156463892116","5.49461689524459","9663","FALSE",2,NA,""
"FALSE","I_3990_2","Wauberg, Meeuwerbaan (N719), grensbord Peer/Meeuwen, opw weg","Gielisbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3990","Peer","YES","51.0898191485544","5.48321716782908","9663","FALSE",2,NA,""
"FALSE","I_3670_2","Meeuwen, zijweg Berkenstr., afw weg, Meeuwen-Guitrode","Hommelbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3670","Oudsbergen","YES","51.1035802795484","5.50230806088013","9630","FALSE",2,NA,""
"FALSE","I_3670_3","Meeuwen; Broekkant","Bullenbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3670","Oudsbergen","YES","51.0869824007932","5.51095514933787","9594","FALSE",2,NA,""
"FALSE","I_3680_1","Aldeneik, Herenlaakweg, aan rotonde linker fietsweg, 1ste pad links naar beneden","Bosbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3680","Maaseik","YES","51.1040777833372","5.80913301696031","10004","FALSE",1,NA,""
"FALSE","I_3680_2","Opoeteren, Volmolenstraat, thv Volmolen, opw verval","Bosbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3680","Maaseik","YES","51.0767058064957","5.6737655644871","10004","FALSE",1,NA,""
"FALSE","I_3680_3","Opoeteren, Dorpermolenstraat thv huis nr.2, 30m opw. molen LO","Bosbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3680","Maaseik","YES","51.0682086969579","5.65426559279372","10004","FALSE",1,NA,""
"FALSE","I_3680_4","Opoeteren, Kasteelstraat, afw brug","Bosbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3680","Maaseik","YES","51.0563366956689","5.63563719609273","10004","FALSE",1,NA,""
"FALSE","I_3660_1","Slagmolen, opw en afw brug","Bosbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3660","Oudsbergen","YES","51.0427816863731","5.61606072144843","10004","FALSE",1,NA,""
"FALSE","I_3650_1","Rotem, Klaverstr/Veesteeg, opw weg","Retselbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3650","Dilsen-Stokkem","YES","51.0574821616737","5.71628259353312","9882","FALSE",2,NA,""
"FALSE","I_3650_2","Dilsen/Stokkem, afw steenweg N78","Vrietselbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3650","Dilsen-Stokkem","YES","51.0229170818974","5.72694804515648","9629","FALSE",2,NA,""
"FALSE","I_3631_1","Boorsem, Langeweidestraat, opw brug - meetplaats 381 (provincie Limburg)","Ziepbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3631","Maasmechelen","YES","50.9375721727082","5.71729004133363","9766","FALSE",2,NA,""
"FALSE","I_3621_1","Rekem, Oude god, opw brug - meetplaats 377 (provincie Limburg)","Ziepbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3621","Lanaken","YES","50.9233028112408","5.70558524431811","9766","FALSE",2,NA,""
"FALSE","I_3700_1","Tongeren, Hardelweg/Oude Blaarstraat, Natuurgebied ""De Kevie"", afw brug","Jeker","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3700","Tongeren","YES","50.7797622297555","5.49074713338154","9504","FALSE",1,NA,""
"FALSE","I_3700_2","Lauw, Brugstraat, opw brug","Jeker","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3700","Tongeren","YES","50.738617397299","5.41144450879059","9504","FALSE",1,NA,""
"FALSE","I_3790_1","Moelingen, Voerenstraat, opw brug","Berwijn","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg","3790","Voeren","YES","50.7567716863156","5.71344246373497","9536","FALSE",1,NA,""
"FALSE","I_9968_1","Bassevelde,Zwarte Hoek,Beekstraat,opw weg","Hollemeersbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9968","Assenede","YES","51.2242378158697","3.6667882087607","2880","FALSE",2,NA,""
"FALSE","I_9960_1","Burgstraat, opw weg","Maatbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9960","Assenede","YES","51.2174340515445","3.73375991381296","2894","FALSE",2,NA,""
"FALSE","I_2030_1","Rode Weel, thv bunker a brug over Verlegde Schijns","Hoofdgracht","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2030","Antwerpen","YES","51.3013778797996","4.37241519189361","3104","FALSE",1,NA,""
"FALSE","I_2100_1","Deurne; Ruggeveldlaan, opw Rivierenhof, opw brug","Groot Schijn","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2100","Antwerpen","YES","51.2140025092506","4.48164417719761","3103","FALSE",1,NA,""
"FALSE","I_2160_1","Deurne; grens Wommelgem, Autolei, afw brug","Groot Schijn","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2160","Wommelgem","YES","51.2157685824699","4.49504425194488","3103","FALSE",1,NA,""
"FALSE","I_2390_1","Westmalle; Ossegoor, Sparrenlaan, opw weg","Groot Schijn","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2390","Malle","YES","51.2849529277216","4.678968102689","3103","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2030_2","Ekeren; Rode Weel thv PS","Voorgracht","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2030","Antwerpen","YES","51.3057614387582","4.34273309075741","16818","FALSE",1,NA,""
"FALSE","I_2030_3","Walenhoek, Ettenhovense Dijk, afw autoweg","Afwateringsgracht","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2030","Antwerpen","YES","51.3103297355931","4.35896437386392","3251","FALSE",1,NA,""
"FALSE","I_9968_2","Bassevelde,Hasselstraat, opw weg","Oosteeklose Beek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9968","Assenede","YES","51.2178118864783","3.70594485163594","2964","FALSE",2,NA,""
"FALSE","I_2970_1","'s Gravenwezel, Noorderlaan","Antitankkanaal","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2970","Schilde","YES","51.2595429027585","4.59144318390234","17603","FALSE",1,NA,""
"FALSE","I_9130_1","Verrebroek; Bemalingsstation thv expressweg","Noordzuid Verbinding","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9130","Beveren","YES","51.2423646371742","4.20409376717623","3111","FALSE",1,NA,""
"FALSE","I_9170_1","Okkervoorde, Duikeldam ,Dijkweg Watergang vd Hoge Landen"," ","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9170","Sint-Gillis-Waas","YES","51.2279694123612","4.14129934807735","47101","FALSE",2,NA,""
"FALSE","I_9170_2","Ast, Aststr, zandweg, afw sas","Grauwersteenbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9170","Sint-Gillis-Waas","YES","51.2139558748123","4.11031212943297","4013","FALSE",2,NA,""
"FALSE","I_9120_1","Haasdonk, Oude Baan, opw weg","Gaverse Beek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9120","Beveren","YES","51.1970978945056","4.22393793062277","3512","FALSE",2,NA,""
"FALSE","I_9170_3","Sint-Niklaasstr, op het einde v/e zandweg, thv de bocht i/d beek","Schuilhoekbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9170","Sint-Gillis-Waas","YES","51.1997817764916","4.14611471150678","3231","FALSE",2,NA,""
"FALSE","I_9150_1","Kouterhoek, Julianus Severinstrthv brugje","Akkersbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9150","Kruibeke","YES","51.1675599082309","4.30343432736272","3377","FALSE",2,NA,""
"FALSE","I_9150_2","Oude Kruibekestraat","Barbierbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9150","Kruibeke","YES","51.1552618316077","4.30043548977325","3109","FALSE",2,NA,""
"ONHOLD","I_9140_1","oude Heirbaan opw","Barbierbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," ","njbjymrl ","Oost-Vlaanderen","9140","Temse","YES","51.1390258","4.1649495","3109","ONHOLD",2,NA,""
"FALSE","I_9140_2","Muizenhol,zandweg naast electriciteitskab. aan Luiseekstr, 70 m voorbij de Barbierbeek","Steendonkstraatbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen","9140","Temse","YES","51.165224071789","4.22356455334256","3390","FALSE",2,NA,""
"FALSE","I_2630_1","Cleydaellaan, thv. kasteel Cleydael, opw brug","Grote Struisbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2630","Aartselaar","YES","51.1373307680202","4.362912876352","3108","FALSE",1,NA,""
